episode,total_reward,epsilon
1,57.857,0.855
1,350.109,0.855
2,279.565,0.8122
3,417.217,0.7716
4,247.13,0.7331
5,489.957,0.6964
6,341.043,0.6616
7,321.652,0.6285
8,260.826,0.5971
9,398.326,0.5672
10,287.739,0.5389
11,437.152,0.5119
12,410.957,0.4863
13,285.152,0.462
14,303.109,0.4389
15,142.565,0.417
16,358.109,0.3961
17,-33.109,0.3763
18,375.783,0.3575
19,272.152,0.3396
20,250.609,0.3226
21,-323.913,0.3065
22,-71.435,0.2912
23,-371.37,0.2766
24,280.783,0.2628
25,-522.587,0.2497
26,278.543,0.2372
27,209.217,0.2253
28,569.717,0.214
29,491.935,0.2033
30,361.696,0.1932
31,445.848,0.1835
32,491.348,0.1743
33,492.261,0.1656
34,479.37,0.1573
35,409.391,0.1495
36,517.457,0.142
37,549.087,0.1349
38,443.239,0.1282
39,624.239,0.1217
40,491.087,0.1157
41,645.543,0.1099
42,544.826,0.1044
43,532.522,0.0992
44,574.065,0.0992
45,533.674,0.0992
46,492.891,0.0992
47,559.304,0.0992
48,634.783,0.0992
49,687.304,0.0992
50,449.37,0.0992
