episode,total_reward,epsilon
1,57.857,0.855
1,350.109,0.855
2,279.565,0.8122
3,417.217,0.7716
4,247.13,0.7331
5,489.957,0.6964
6,341.043,0.6616
7,321.652,0.6285
8,260.826,0.5971
9,398.326,0.5672
10,287.739,0.5389
11,437.152,0.5119
12,410.957,0.4863
13,285.152,0.462
14,303.109,0.4389
15,142.565,0.417
16,358.109,0.3961
17,-33.109,0.3763
18,375.783,0.3575
19,272.152,0.3396
20,250.609,0.3226
21,-323.913,0.3065
22,-71.435,0.2912
23,-371.37,0.2766
24,280.783,0.2628
25,-522.587,0.2497
26,278.543,0.2372
27,209.217,0.2253
28,569.717,0.214
29,491.935,0.2033
30,361.696,0.1932
31,445.848,0.1835
32,491.348,0.1743
33,492.261,0.1656
34,479.37,0.1573
35,409.391,0.1495
36,517.457,0.142
37,549.087,0.1349
38,443.239,0.1282
39,624.239,0.1217
40,491.087,0.1157
41,645.543,0.1099
42,544.826,0.1044
43,532.522,0.0992
44,574.065,0.0992
45,533.674,0.0992
46,492.891,0.0992
47,559.304,0.0992
48,634.783,0.0992
49,687.304,0.0992
50,449.37,0.0992
1,495.053,0.4275
2,682.737,0.4061
3,389.895,0.3858
4,641.0,0.3665
5,782.316,0.3482
6,609.158,0.3308
7,789.895,0.3143
8,619.0,0.2985
9,774.895,0.2836
10,698.0,0.2694
11,822.0,0.256
12,755.842,0.2432
13,646.842,0.231
14,565.474,0.2195
15,670.474,0.2085
16,618.0,0.1981
17,495.526,0.1882
18,469.895,0.1787
19,614.474,0.1698
20,919.263,0.1613
21,643.474,0.1533
22,727.474,0.1456
23,632.632,0.1383
24,745.737,0.1314
25,645.658,0.1248
26,694.474,0.1186
27,728.368,0.1127
28,564.684,0.107
29,724.842,0.1017
30,679.263,0.0966
31,704.263,0.0966
32,830.368,0.0966
33,733.368,0.0966
34,785.842,0.0966
35,623.0,0.0966
36,883.316,0.0966
37,650.632,0.0966
38,885.053,0.0966
39,776.895,0.0966
40,965.684,0.0966
41,649.947,0.0966
42,839.158,0.0966
43,701.211,0.0966
44,859.474,0.0966
45,612.053,0.0966
46,877.947,0.0966
47,700.474,0.0966
48,817.579,0.0966
49,703.526,0.0966
50,833.947,0.0966
